слово,L,T,F,S,R,B
океан,1031,987,986,1167,864,970
беляш,1039,984,982,1132,905,962
оскал,1019,1055,1007,1089,912,923
весло,1024,1068,949,1051,950,964
тунец,1030,1084,936,1063,937,955
жулик,1022,1030,980,1137,907,929
вафля,1072,992,930,1125,929,956
надел,1118,1020,987,1110,868,901
вишня,1145,1025,984,1061,838,952
напор,1105,1031,980,1075,874,940
морда,1071,1053,990,1033,918,940
нерпа,1028,1096,928,1071,928,955
трико,1035,1060,969,1029,970,943
сплав,999,1030,991,991,1037,958
имидж,999,1037,988,989,1046,947
рознь,983,1031,970,971,1042,1008
трель,993,978,970,978,1064,1023
мойка,1021,1002,917,1002,1005,1059
киоск,996,1048,941,1048,976,998
ликер,995,1059,927,1133,896,997
певец,1009,1014,924,1105,945,1011
особь,951,1017,965,1071,991,1013
стиль,970,1017,987,1114,947,973
хмель,977,946,953,1112,994,1026
обрез,1031,918,1001,1124,918,1017
залет,1112,898,1001,1079,898,1021
выгул,1166,948,956,1053,903,981
бекон,1131,950,960,1080,895,991
мотив,1117,967,980,1025,899,1019
бизон,1111,933,948,1025,923,1066
клоун,1090,963,939,1025,952,1037
полип,1089,963,915,1025,986,1028
огрех,1050,956,956,1025,984,1034
шакал,1061,948,948,1025,982,1042
банан,1059,996,882,1025,965,1079
каноэ,1055,996,906,1025,946,1078
лакей,1064,996,934,1025,938,1049
штрих,1074,996,966,1025,888,1057
месяц,1060,967,932,1025,910,1112
тиран,1015,1004,905,1025,936,1120
отряд,1004,1048,873,1025,967,1087
парус,1006,1115,879,1025,904,1076
князь,984,1115,907,1025,908,1065
батон,953,1109,947,1025,920,1050
оклад,944,1074,981,1025,948,1032
винир,950,1099,981,1025,899,1051
судно,898,1133,993,1025,938,1019
толща,898,1149,948,1025,926,1060
гамак,948,1139,965,1061,864,1030
ежиха,920,1097,942,1120,906,1022
желчь,975,1091,958,1118,913,953
чернь,1002,1091,982,1101,857,976
тоник,1032,1083,947,1051,897,999
спина,1025,1029,1008,1049,916,983
плешь,986,1066,935,1091,925,1008
волок,1027,1037,964,1156,863,965
форма,989,1117,985,1216,792,913
изгой,958,1197,953,1228,809,867
штраф,935,1220,929,1201,829,898
пламя,936,1191,972,1211,768,934
выезд,981,1213,952,1181,780,905
пилот,1006,1211,898,1174,808,914
титул,1007,1196,934,1152,826,895
химик,980,1207,891,1155,848,931
багаж,975,1192,867,1130,873,974
казнь,941,1201,898,1213,819,940
отбор,1001,1183,891,1197,797,942
рыбак,1030,1149,897,1207,827,900
донор,1007,1152,918,1178,834,922
броня,979,1154,958,1185,772,963
осина,1018,1143,904,1179,798,969
ферма,991,1143,941,1185,731,1019
пение,988,1172,927,1150,751,1022
квота,1014,1163,867,1137,774,1055
хомяк,973,1153,868,1193,801,1023
повар,995,1141,869,1160,790,1056
лиана,978,1156,912,1121,790,1053
чайка,1016,1117,935,1118,789,1035
мусор,989,1113,978,1115,802,1013
потоп,1029,1063,957,1125,748,1088
казак,1005,1046,1004,1123,755,1077
отель,1034,1128,974,1076,736,1063
скрип,995,1111,1010,1047,728,1119
драка,992,1134,1011,1056,746,1071
кобра,1033,1089,982,1038,739,1129
рывок,995,1137,1006,1001,759,1113
опора,1007,1108,948,1015,782,1151
навоз,1008,1088,935,1076,794,1111
комар,994,1092,905,1078,822,1121
довод,1036,1083,927,1021,826,1118
минус,1029,1088,953,1011,859,1072
грань,1035,1108,941,1013,827,1088
свита,969,1160,956,1045,818,1063
трата,932,1122,916,1099,823,1120
девиз,916,1148,897,1121,857,1073
вывоз,920,1148,897,1092,892,1063
штаны,975,1137,888,1039,881,1092
проза,998,1109,891,1077,882,1054
ягуар,997,1076,924,1095,912,1007
финал,1070,1035,950,1058,890,1008
въезд,1056,1102,997,1042,835,979
напор,1009,1066,1025,1081,827,1003
амеба,1010,1081,1030,1100,861,929
ласка,1029,1081,1053,1064,852,932
каюта,991,1055,1021,1094,876,975
затея,989,1068,951,1116,920,968
толща,1031,1039,894,1099,945,1004
актер,1067,1003,826,1077,1005,1034
пафос,1037,1048,830,1050,961,1086
оклад,1030,1044,850,1120,878,1090
аллея,1051,1068,832,1160,865,1036
вальс,1003,1097,867,1136,849,1058
кумир,974,1089,909,1137,859,1042
голос,997,1080,916,1095,899,1022
грунт,970,1080,945,1088,925,1001
манеж,977,1113,946,1122,835,1015
ковер,956,1124,977,1077,870,1003
вожак,930,1079,956,1081,913,1048
кузов,957,1112,1020,1055,848,1015
часть,917,1108,995,1127,872,988
талия,933,1108,955,1112,880,1018
слюна,860,1146,959,1151,926,963
ягода,843,1135,1023,1112,923,969
особь,866,1092,1013,1123,890,1021
фетиш,894,1099,942,1136,923,1011
степь,943,1108,972,1094,890,999
фронт,929,1060,965,1116,938,998
ручей,960,1060,1003,1112,900,971
самец,965,1015,1019,1080,949,979
свеча,912,1063,979,1142,892,1019
юрист,935,1078,914,1116,940,1024
видео,904,1022,967,1129,970,1015
магия,853,1086,1018,1129,933,989
шашка,848,1061,1052,1085,946,1015
