слово,L,T,F,S,R,B
итого,-0.47,8.13,-2.72,9.78,-15.73,1.03
донор,0.33,0.33,-0.67,0.33,0.33,-0.67
броня,-1.0,1.0,1.0,1.0,-2.0,0.0
осина,0.33,0.33,-0.67,0.33,0.33,-0.67
ферма,0.33,0.33,0.33,1.33,-2.67,0.33
пение,-0.17,0.83,0.83,0.83,-2.17,-0.17
квота,0.67,0.67,-0.33,-0.33,-1.33,0.67
хомяк,-0.5,0.5,-0.5,1.5,-0.5,-0.5
повар,0.25,0.25,-1.25,1.0,-0.5,0.25
лиана,-0.5,1.0,-0.5,0.25,-0.5,0.25
чайка,0.25,0.25,-0.5,0.25,-0.5,0.25
мусор,-0.5,1.0,0.25,0.25,0.25,-1.25
потоп,0.25,0.25,-0.5,0.25,-0.5,0.25
казак,-0.38,-1.13,0.38,1.13,-0.38,0.38
отель,0.38,0.38,-0.38,0.38,-0.38,-0.38
скрип,0.0,0.0,0.0,0.0,-0.5,0.5
драка,-0.33,0.67,0.17,0.17,-0.33,-0.33
кобра,0.33,-0.17,-0.17,0.33,-0.67,0.33
рывок,-0.08,0.42,0.42,-0.08,-0.58,-0.08
опора,-0.08,0.42,-0.08,-0.58,-0.58,0.92
навоз,0.17,0.17,0.17,0.17,-0.83,0.17
комар,-0.33,0.17,-0.33,0.67,-0.33,0.17
довод,0.08,0.08,-0.17,0.08,-0.42,0.33
минус,0.0,0.0,0.0,0.0,0.0,0.0
грань,0.38,-0.13,-0.13,-0.13,-0.13,0.13
свита,0.08,0.33,0.08,-0.17,-0.17,-0.17
трата,0.0,0.0,0.0,0.0,-0.25,0.25
девиз,-0.1,0,-0.1,0.4,-0.35,0.15
вывоз,-0.33,0.17,-0.08,0.42,-0.08,-0.08
