id,word,L,T,F,S,L rank,T rank,F rank,S rank
121,хвост,2,,5,4,1.0,,3.0,2.0
122,песок,4,3,2,3,4.0,2.5,1.0,2.5
123,озеро,4,3,5,3,3.0,1.5,4.0,1.5
124,строй,4,,3,5,2.0,,1.0,3.0
125,дочка,5,6,5,6,1.5,3.5,1.5,3.5
126,танец,4,4,,5,1.5,1.5,,3.0
127,набор,5,4,5,5,3.0,1.0,3.0,3.0
128,горло,4,3,4,5,2.5,1.0,2.5,4.0
129,плата,5,4,4,4,4.0,2.0,2.0,2.0
130,съезд,4,4,6,4,2.0,2.0,4.0,2.0
131,кошка,5,5,6,6,1.5,1.5,3.5,3.5
132,пятно,3,4,4,5,1.0,2.5,2.5,4.0
133,ткань,3,5,4,3,1.5,4.0,3.0,1.5
134,визит,5,3,5,5,3.0,1.0,3.0,3.0
135,океан,4,3,4,3,3.5,1.5,3.5,1.5
136,пауза,5,4,,5,2.5,1.0,,2.5
137,ствол,4,4,4,4,2.5,2.5,2.5,2.5
138,тепло,5,4,5,4,3.5,1.5,3.5,1.5
139,радио,5,4,4,6,3.0,1.5,1.5,4.0
140,зверь,2,5,4,5,1.0,3.5,2.0,3.5
141,нация,5,6,6,4,2.0,3.5,3.5,1.0
142,банка,5,3,3,,3.0,1.5,1.5,
143,метро,4,4,4,4,2.5,2.5,2.5,2.5
144,обмен,4,,3,4,2.5,,1.0,2.5
145,тоска,3,3,3,5,2.0,2.0,2.0,4.0
146,забор,4,4,3,5,2.5,2.5,1.0,4.0
147,мороз,3,,3,6,1.5,,1.5,3.0
148,марка,3,5,,6,1.0,2.0,,3.0
149,грязь,4,2,,2,3.0,1.5,,1.5
150,спрос,5,3,4,3,4.0,1.5,3.0,1.5
151,мотор,4,3,3,,3.0,1.5,1.5,
152,север,5,,3,3,3.0,,1.5,1.5
153,склад,5,3,4,5,3.5,1.0,2.0,3.5
154,мотив,4,5,,3,2.0,3.0,,1.0
155,арест,3,,3,2,2.5,,2.5,1.0
156,отряд,5,6,,4,2.0,3.0,,1.0
