date,nums,S,R,B,L,F,A,T
2026-07-20,1656-1662,14,20,45,27,20,0,0
2026-07-13,1649-1655,69,67,54,47,17,0,0
2026-07-06,1642-1648,29,44,29,41,63,0,0
2026-06-29,1635-1641,52,50,47,37,36,0,0
2026-06-22,1628-1634,57,15,51,58,51,0,0
2026-06-15,1621-1627,61,23,48,35,41,0,0
2026-06-08,1614-1620,51,18,40,27,58,0,0
2026-06-01,1607-1613,46,48,42,43,43,0,0
2026-05-25,1600-1606,27,76,45,34,34,0,0
2026-05-18,1593-1599,54,44,19,51,60,0,0
2026-05-11,1586-1592,54,34,39,49,32,0,0
2026-05-04,1579-1585,55,49,42,36,26,0,0
2026-04-27,1572-1578,39,39,41,62,39,0,0
2026-04-20,1565-1571,76,37,52,45,12,0,0
2026-04-13,1558-1564,0,53,25,25,17,0,0
2026-04-06,1551-1557,0,43,40,38,46,23,0
2026-03-30,1544-1550,74,25,28,35,60,18,0
2026-03-23,1537-1543,43,64,51,45,49,63,0
2026-03-16,1530-1536,58,50,42,55,50,83,0
2026-03-09,1523-1529,57,46,45,47,27,96,0
2026-03-02,1516-1522,62,71,68,56,22,34,0
2026-02-23,1509-1515,80,52,58,36,48,69,82
2026-02-16,1502-1508,67,29,61,57,25,67,14
2026-02-09,1495-1501,81,56,47,35,80,35,45
2026-02-02,1488-1494,42,106,56,57,68,42,43
2026-01-26,1481-1487,94,35,41,70,45,73,76
2026-01-19,1474-1480,63,50,57,58,50,54,79
2026-01-12,1467-1473,76,22,66,63,52,81,22
2026-01-05,1460-1466,70,31,29,81,42,87,62
2025-12-29,1453-1459,54,36,53,79,33,74,27
2025-12-22,1446-1452,73,42,53,47,60,34,0
2025-12-15,1439-1445,30,79,44,40,50,64,0
2025-12-08,1432-1438,62,48,38,54,31,75,0
2025-12-01,1425-1431,70,58,77,26,46,47,0
2025-11-24,1418-1424,85,34,35,34,38,75,0
2025-11-17,1411-1417,61,52,64,35,57,58,0
2025-11-10,1404-1410,87,24,59,68,44,55,0
2025-11-03,1397-1403,71,54,59,30,27,106,0
2025-10-27,1390-1396,48,27,28,76,79,63,0
2025-10-20,1383-1389,60,54,37,38,45,62,0
2025-10-13,1376-1382,76,38,28,78,45,61,0
2025-10-06,1369-1375,74,73,57,42,25,43,2
2025-09-29,1362-1368,89,44,37,57,45,51,84
