date,nums,L,T,F,S,R,B
2024-02-19,774-780,8,22,1,0,10,16
2024-02-12,767-773,23,51,35,29,31,55
2024-02-05,760-766,58,52,55,65,31,51
2024-01-29,753-759,44,89,40,82,25,32
2024-01-22,746-752,43,83,35,93,25,35
2024-01-15,739-745,43,91,32,82,18,48
2024-01-08,732-738,49,62,48,72,9,57
2024-01-01,725-731,60,67,38,46,13,76
2023-12-25,718-724,29,58,23,65,25,71
2023-12-18,711-717,45,58,60,55,9,34
2023-12-11,704-710,57,38,12,61,39,57
2023-12-04,697-703,47,47,39,54,29,50
2023-11-27,690-696,19,71,38,73,30,41
2023-11-20,683-689,35,53,49,63,41,44
2023-11-13,676-682,42,58,44,64,38,35
2023-11-06,669-675,28,38,40,0,15,50
2023-10-30,662-668,43,27,34,0,16,45
2023-10-23,655-661,32,29,13,0,44,53
2023-10-16,648-654,24,46,33,0,41,37
2023-10-09,641-647,36,41,31,0,32,40
2023-10-02,634-640,25,39,22,0,28,58
2023-09-25,627-633,27,55,12,47,0,37
2023-09-18,620-626,26,57,22,51,0,39
2023-09-11,613-619,21,38,28,53,0,39
2023-09-04,606-612,26,48,15,50,0,41
2023-08-28,599-605,26,60,14,51,0,38
2023-08-21,592-598,29,27,24,49,0,46
2023-08-14,585-591,15,55,33,61,0,26
2023-08-07,578-584,21,52,22,50,0,40
2023-07-31,571-577,23,53,22,46,0,42
2023-07-24,564-570,21,38,18,51,0,57
2023-07-17,557-563,21,50,22,45,0,50
2023-07-10,550-556,21,33,49,30,0,52
2023-07-03,543-549,32,57,6,42,0,40
2023-06-26,536-542,28,45,24,46,0,43
2023-06-19,529-535,10,46,30,54,0,48
2023-06-12,522-528,36,45,3,55,0,27
2023-06-05,515-521,18,42,22,70,0,29
2023-05-29,508-514,25,53,21,47,0,33
2023-05-22,501-507,39,29,20,8,0,19
2023-05-15,494-500,22,32,17,41,0,0
2023-05-08,487-493,10,47,14,49,0,0
2023-05-01,480-486,12,39,15,42,0,0
2023-04-24,473-479,21,40,14,33,0,0
2023-04-17,466-472,14,37,22,44,0,0
2023-04-10,459-465,26,26,18,33,0,0
2023-04-03,452-458,20,41,17,26,0,0
2023-03-27,445-451,20,35,17,41,0,0
2023-03-20,438-444,12,32,35,35,0,0
2023-03-13,431-437,16,48,12,39,0,0
2023-03-06,424-430,12,35,26,34,0,0
2023-02-27,417-423,30,43,10,33,0,0
2023-02-20,410-416,21,35,20,34,0,0
2023-02-13,403-409,19,43,32,19,0,0
2023-02-06,396-402,39,23,10,38,0,0
2023-01-30,389-395,33,27,31,25,0,0
2023-01-23,382-388,13,27,27,48,0,0
2023-01-16,375-381,25,26,23,39,0,0
2023-01-09,368-374,29,18,14,20,0,0
2023-01-02,361-367,14,9,22,20,0,0
2022-12-26,354-360,19,6,21,28,0,0
2022-12-19,347-353,42,27,17,31,0,0
2022-12-12,340-346,11,12,20,3,0,0
2022-12-05,333-339,23,5,10,21,0,0
2022-11-28,326-332,15,7,33,29,0,0
2022-11-21,319-325,21,39,19,21,0,0
2022-11-14,312-318,13,17,24,24,0,0
2022-11-07,305-311,14,25,23,27,0,0
2022-10-31,298-304,25,30,15,16,0,0
2022-10-24,291-297,25,27,26,30,0,0
2022-10-17,284-290,29,15,9,36,0,0
2022-10-10,277-283,19,9,9,2,0,0
2022-10-03,270-276,13,11,11,13,0,0
2022-09-26,263-269,7,7,0,3,0,0
2022-09-19,256-262,5,7,5,10,0,0
2022-09-12,249-255,38,16,21,20,0,0
2022-09-05,242-248,22,26,18,15,0,0
2022-08-29,235-241,17,37,30,24,0,0
2022-08-22,228-234,15,11,26,32,0,0
2022-08-15,221-227,20,13,28,20,0,0
2022-08-08,214-220,33,21,30,19,0,0
2022-08-01,207-213,18,27,23,24,0,0
2022-07-25,200-206,26,17,19,27,0,0
2022-07-18,193-199,26,4,35,29,0,0
2022-07-11,186-192,25,26,30,11,0,0
2022-07-04,179-185,17,8,26,30,0,0
2022-06-27,172-178,13,8,11,15,0,0
2022-06-20,165-171,29,10,14,27,0,0
2022-06-13,158-164,20,14,12,31,0,0
2022-06-06,151-157,9,19,15,24,0,0
2022-05-30,144-150,20,23,27,12,0,0
2022-05-23,137-143,25,26,25,23,0,0
2022-05-16,130-136,32,38,11,23,0,0
2022-05-09,123-129,23,35,24,15,0,0
2022-05-02,116-122,6,4,9,7,0,0
