id,word,S,R,B,A,L,F,T
1457,белок,4,3,3,3,2,4,3
1456,скоба,4,5,4,2,3,4,
1455,измор,3,3,3,3,3,4,
1454,вздор,4,5,4,4,4,5,
1453,лесть,4,4,2,3,3,3,
1452,калым,4,5,4,6,4,5,
1451,щетка,7,6,7,7,6,7,
1450,линия,3,4,4,3,5,3,
1449,сумка,4,5,5,5,4,2,
1448,вылет,3,4,4,5,4,5,
1447,страж,4,6,3,4,5,3,
1446,пушок,4,4,4,4,6,6,
1445,смута,4,3,4,4,4,4,
1444,фраза,5,5,3,3,4,3,
1443,полет,3,3,3,4,4,4,
1442,сноха,4,3,4,3,4,4,
1441,слюда,6,4,5,5,3,4,
1440,дрозд,5,3,4,4,5,3,
1439,рояль,4,4,5,3,5,5,
1438,титан,3,4,3,4,3,4,
1437,терка,2,5,4,2,4,4,
1436,радио,3,3,3,2,3,3,
1435,ходок,5,3,4,5,6,3,
1434,вотум,3,3,4,3,4,4,
1433,проза,4,4,4,3,2,5,
1432,редис,4,4,5,4,4,5,
1431,мулат,5,2,2,3,3,3,
1430,вожак,4,4,5,3,5,4,
1429,глава,3,4,4,3,6,3,
1428,обруч,3,6,3,4,4,4,
1427,наган,3,3,2,4,4,4,
1426,азиат,4,3,3,5,4,4,
1425,вираж,3,4,4,5,4,4,
1424,отдел,4,4,4,3,4,4,
1423,квест,3,5,4,4,4,,
1422,мадам,5,3,4,3,4,4,
1421,ордер,4,5,4,3,6,3,
1420,гиена,2,4,4,3,4,4,
1419,челка,2,4,3,3,4,3,
1418,ветка,3,4,5,5,3,5,
1417,гусли,3,3,3,3,4,2,
1416,выпас,3,3,4,5,4,4,
1415,плечо,3,4,5,3,3,2,
1414,плоть,3,3,3,3,3,4,
1413,парча,4,5,3,4,7,4,
1412,корка,3,4,3,2,5,6,
1411,закат,4,3,3,4,3,4,
1410,кишка,2,6,7,4,7,5,
1409,убыль,3,4,4,4,3,3,
1408,марка,3,6,4,3,4,6,
1407,заряд,4,3,3,4,3,4,
1406,аниме,3,5,3,4,4,5,
1405,грунт,3,4,4,3,2,3,
1404,жених,5,5,3,5,4,4,
1403,бинго,4,3,3,3,2,5,
1402,казна,3,3,3,3,3,3,
1401,крона,3,3,2,2,4,5,
1400,намек,2,3,4,2,4,3,
1399,ножка,3,5,3,2,7,6,
1398,довод,4,4,4,4,5,4,
1397,засор,3,4,5,2,7,5,
1396,стенд,4,4,4,3,3,3,
1395,музей,3,4,4,3,4,4,
